,iso_o,year,conflict_stock_idp_pop_0,conflict_stock_idp_pop_1,conflict_stock_idp_pop_2,conflict_stock_idp_pop_3,conflict_stock_idp_pop_4,conflict_idp_pop_0,conflict_idp_pop_1,conflict_idp_pop_2,conflict_idp_pop_3,conflict_idp_pop_4
289,AZE,2014,0,0,0,1,1,0,0,0,1,0
290,AZE,2015,0,0,0,1,1,0,0,0,1,0
291,AZE,2016,0,0,0,1,1,0,0,0,0,1
292,AZE,2017,0,0,0,1,1,0,0,0,1,0
293,AZE,2018,0,0,0,1,1,0,0,0,0,1
294,AZE,2019,0,0,0,1,1,0,0,0,0,1
295,AZE,2020,0,0,0,1,1,0,0,1,0,0
296,AZE,2021,0,0,0,1,1,0,0,0,0,1
297,AZE,2022,0,0,0,1,1,0,0,0,1,0
298,AZE,2023,0,0,0,0,1,0,0,0,0,1
299,AZE,2024,0,0,0,0,1,0,0,0,0,1
300,BHS,2000,0,0,0,0,1,0,0,0,0,1
301,BHS,2001,0,0,0,0,1,0,0,0,0,1
302,BHS,2002,0,0,0,0,1,0,0,0,0,1
303,BHS,2003,0,0,0,0,1,0,0,0,0,1
304,BHS,2004,0,0,0,0,1,0,0,0,0,1
305,BHS,2005,0,0,0,0,1,0,0,0,0,1
306,BHS,2006,0,0,0,0,1,0,0,0,0,1
307,BHS,2007,0,0,0,0,1,0,0,0,0,1
308,BHS,2008,0,0,0,0,1,0,0,0,0,1
309,BHS,2009,0,0,0,0,1,0,0,0,0,1
310,BHS,2010,0,0,0,0,1,0,0,0,0,1
311,BHS,2011,0,0,0,0,1,0,0,0,0,1
312,BHS,2012,0,0,0,0,1,0,0,0,0,1
313,BHS,2013,0,0,0,0,1,0,0,0,0,1
314,BHS,2014,0,0,0,0,1,0,0,0,0,1
315,BHS,2015,0,0,0,0,1,0,0,0,0,1
316,BHS,2016,0,0,0,0,1,0,0,0,0,1
317,BHS,2017,0,0,0,0,1,0,0,0,0,1
318,BHS,2018,0,0,0,0,1,0,0,0,0,1
319,BHS,2019,0,0,0,0,1,0,0,0,0,1
320,BHS,2020,0,0,0,0,1,0,0,0,0,1
321,BHS,2021,0,0,0,0,1,0,0,0,0,1
322,BHS,2022,0,0,0,0,1,0,0,0,0,1
323,BHS,2023,0,0,0,0,1,0,0,0,0,1
324,BHS,2024,0,0,0,0,1,0,0,0,0,1
325,BHR,2000,0,0,0,0,1,0,0,0,0,1
326,BHR,2001,0,0,0,0,1,0,0,0,0,1
327,BHR,2002,0,0,0,0,1,0,0,0,0,1
328,BHR,2003,0,0,0,0,1,0,0,0,0,1
329,BHR,2004,0,0,0,0,1,0,0,0,0,1
330,BHR,2005,0,0,0,0,1,0,0,0,0,1
331,BHR,2006,0,0,0,0,1,0,0,0,0,1
332,BHR,2007,0,0,0,0,1,0,0,0,0,1
333,BHR,2008,0,0,0,0,1,0,0,0,0,1
334,BHR,2009,0,0,0,0,1,0,0,0,0,1
335,BHR,2010,0,0,0,0,1,0,0,0,0,1
336,BHR,2011,0,0,0,0,1,0,0,0,0,1
337,BHR,2012,0,0,0,0,1,0,0,0,0,1
338,BHR,2013,0,0,0,0,1,0,0,0,0,1
339,BHR,2014,0,0,0,0,1,0,0,0,0,1
340,BHR,2015,0,0,0,0,1,0,0,0,0,1
341,BHR,2016,0,0,0,0,1,0,0,0,0,1
342,BHR,2017,0,0,0,0,1,0,0,0,0,1
343,BHR,2018,0,0,0,0,1,0,0,0,0,1
344,BHR,2019,0,0,0,0,1,0,0,0,0,1
345,BHR,2020,0,0,0,0,1,0,0,0,0,1
346,BHR,2021,0,0,0,0,1,0,0,0,0,1
347,BHR,2022,0,0,0,0,1,0,0,0,0,1
348,BHR,2023,0,0,0,0,1,0,0,0,0,1
349,BHR,2024,0,0,0,0,1,0,0,0,0,1
350,BGD,2000,0,0,0,0,1,0,0,0,0,1
351,BGD,2001,0,0,0,0,1,0,0,0,0,1
352,BGD,2002,0,0,0,0,1,0,0,0,0,1
353,BGD,2003,0,0,0,0,1,0,0,0,0,1
354,BGD,2004,0,0,0,0,1,0,0,0,0,1
355,BGD,2005,0,0,0,0,1,0,0,0,0,1
356,BGD,2006,0,0,0,0,1,0,0,0,0,1
357,BGD,2007,0,0,0,0,1,0,0,0,0,1
358,BGD,2008,0,0,0,0,1,0,0,0,0,1
359,BGD,2009,0,0,1,1,0,0,0,1,1,1
360,BGD,2010,0,0,1,1,0,0,1,0,0,1
361,BGD,2011,0,0,1,1,0,0,1,0,1,0
362,BGD,2012,0,0,1,1,0,0,0,1,1,1
363,BGD,2013,0,0,1,1,0,0,0,0,1,0
364,BGD,2014,0,0,1,1,0,0,0,0,1,0
365,BGD,2015,0,0,1,1,0,0,0,0,1,0
366,BGD,2016,0,0,1,1,0,0,0,0,0,1
367,BGD,2017,0,0,1,1,0,0,0,1,1,1
368,BGD,2018,0,0,1,1,0,0,1,0,1,1
369,BGD,2019,0,0,1,1,0,0,1,0,1,1
370,BGD,2020,0,0,1,1,0,0,1,1,0,0
371,BGD,2021,0,0,1,1,0,0,1,1,0,0
372,BGD,2022,0,0,1,1,0,0,1,0,1,1
373,BGD,2023,0,0,0,0,1,0,0,0,0,1
374,BGD,2024,0,0,0,0,1,0,0,0,0,1
375,BRB,2000,0,0,0,0,1,0,0,0,0,1
376,BRB,2001,0,0,0,0,1,0,0,0,0,1
377,BRB,2002,0,0,0,0,1,0,0,0,0,1
378,BRB,2003,0,0,0,0,1,0,0,0,0,1
379,BRB,2004,0,0,0,0,1,0,0,0,0,1
380,BRB,2005,0,0,0,0,1,0,0,0,0,1
381,BRB,2006,0,0,0,0,1,0,0,0,0,1
382,BRB,2007,0,0,0,0,1,0,0,0,0,1
383,BRB,2008,0,0,0,0,1,0,0,0,0,1
384,BRB,2009,0,0,0,0,1,0,0,0,0,1
385,BRB,2010,0,0,0,0,1,0,0,0,0,1
386,BRB,2011,0,0,0,0,1,0,0,0,0,1
387,BRB,2012,0,0,0,0,1,0,0,0,0,1
388,BRB,2013,0,0,0,0,1,0,0,0,0,1
389,BRB,2014,0,0,0,0,1,0,0,0,0,1
390,BRB,2015,0,0,0,0,1,0,0,0,0,1
391,BRB,2016,0,0,0,0,1,0,0,0,0,1
392,BRB,2017,0,0,0,0,1,0,0,0,0,1
393,BRB,2018,0,0,0,0,1,0,0,0,0,1
394,BRB,2019,0,0,0,0,1,0,0,0,0,1
395,BRB,2020,0,0,0,0,1,0,0,0,0,1
396,BRB,2021,0,0,0,0,1,0,0,0,0,1
397,BRB,2022,0,0,0,0,1,0,0,0,0,1
398,BRB,2023,0,0,0,0,1,0,0,0,0,1
399,BRB,2024,0,0,0,0,1,0,0,0,0,1
400,BLR,2000,0,0,0,0,1,0,0,0,0,1
401,BLR,2001,0,0,0,0,1,0,0,0,0,1
402,BLR,2002,0,0,0,0,1,0,0,0,0,1
403,BLR,2003,0,0,0,0,1,0,0,0,0,1
404,BLR,2004,0,0,0,0,1,0,0,0,0,1
405,BLR,2005,0,0,0,0,1,0,0,0,0,1
406,BLR,2006,0,0,0,0,1,0,0,0,0,1
407,BLR,2007,0,0,0,0,1,0,0,0,0,1
408,BLR,2008,0,0,0,0,1,0,0,0,0,1
409,BLR,2009,0,0,0,0,1,0,0,0,0,1
410,BLR,2010,0,0,0,0,1,0,0,0,0,1
411,BLR,2011,0,0,0,0,1,0,0,0,0,1
412,BLR,2012,0,0,0,0,1,0,0,0,0,1
413,BLR,2013,0,0,0,0,1,0,0,0,0,1
414,BLR,2014,0,0,0,0,1,0,0,0,0,1
415,BLR,2015,0,0,0,0,1,0,0,0,0,1
416,BLR,2016,0,0,0,0,1,0,0,0,0,1
417,BLR,2017,0,0,0,0,1,0,0,0,0,1
418,BLR,2018,0,0,0,0,1,0,0,0,0,1
419,BLR,2019,0,0,0,0,1,0,0,0,0,1
420,BLR,2020,0,0,0,0,1,0,0,0,0,1
421,BLR,2021,0,0,0,0,1,0,0,0,0,1
422,BLR,2022,0,0,0,0,1,0,0,0,0,1
423,BLR,2023,0,0,0,0,1,0,0,0,0,1
424,BLR,2024,0,0,0,0,1,0,0,0,0,1
425,BEL,2000,0,0,0,0,1,0,0,0,0,1
426,BEL,2001,0,0,0,0,1,0,0,0,0,1
427,BEL,2002,0,0,0,0,1,0,0,0,0,1
428,BEL,2003,0,0,0,0,1,0,0,0,0,1
429,BEL,2004,0,0,0,0,1,0,0,0,0,1
430,BEL,2005,0,0,0,0,1,0,0,0,0,1
431,BEL,2006,0,0,0,0,1,0,0,0,0,1
432,BEL,2007,0,0,0,0,1,0,0,0,0,1
433,BEL,2008,0,0,0,0,1,0,0,0,0,1
434,BEL,2009,0,0,0,0,1,0,0,0,0,1
435,BEL,2010,0,0,0,0,1,0,0,0,0,1
436,BEL,2011,0,0,0,0,1,0,0,0,0,1
437,BEL,2012,0,0,0,0,1,0,0,0,0,1
438,BEL,2013,0,0,0,0,1,0,0,0,0,1
439,BEL,2014,0,0,0,0,1,0,0,0,0,1
440,BEL,2015,0,0,0,0,1,0,0,0,0,1
441,BEL,2016,0,0,0,0,1,0,0,0,0,1
442,BEL,2017,0,0,0,0,1,0,0,0,0,1
443,BEL,2018,0,0,0,0,1,0,0,0,0,1
444,BEL,2019,0,0,0,0,1,0,0,0,0,1
445,BEL,2020,0,0,0,0,1,0,0,0,0,1
446,BEL,2021,0,0,0,0,1,0,0,0,0,1
447,BEL,2022,0,0,0,0,1,0,0,0,0,1
448,BEL,2023,0,0,0,0,1,0,0,0,0,1
449,BEL,2024,0,0,0,0,1,0,0,0,0,1
450,BLZ,2000,0,0,0,0,1,0,0,0,0,1
451,BLZ,2001,0,0,0,0,1,0,0,0,0,1
452,BLZ,2002,0,0,0,0,1,0,0,0,0,1
453,BLZ,2003,0,0,0,0,1,0,0,0,0,1
454,BLZ,2004,0,0,0,0,1,0,0,0,0,1
455,BLZ,2005,0,0,0,0,1,0,0,0,0,1
456,BLZ,2006,0,0,0,0,1,0,0,0,0,1
457,BLZ,2007,0,0,0,0,1,0,0,0,0,1
