search_country,search_keyword,topic_title,topic_type,topic_mid
Mozambique,Chimoio,Chimoio,City in Mozambique,/m/07v_vj
United Arab Emirates,Abu Dhabi,Abu Dhabi,Capital of the United Arab Emirates,/m/0gxj
Pakistan,Muzaffarabad,Muzaffarabad,City,/m/047q32
Jordan,Irbid,Irbid,City in Jordan,/m/03_35w
Cameroon,Yaounde,Yaoundé,Capital of Cameroon,/m/01y58d
Cameroon,Edea,Edea,City in Cameroon,/m/05bdzs
Democratic Republic of the Congo,Kinshasa,Kinshasa,Capital of the Democratic Republic of the Congo,/m/0cf0s
Switzerland,Zurich,Zürich,City in Switzerland,/m/08966
Cambodia,Phnom Penh,Phnom Penh,Capital of Cambodia,/m/0dlwj
Saudi Arabia,Tabuk,Tabuk,City in Saudi Arabia,/m/03n51t
Islamic Republic of Iran,Gorgan,Gorgan,City in Iran,/m/0ljk3
Côte d'Ivoire,Abidjan,Abidjan,City in Côte d’Ivoire,/m/0fmyd
Belarus,Vitebsk,Viciebsk,City in Belarus,/m/0159g9
Islamic Republic of Iran,Mashhad,Mashhad,City in Iran,/m/024hh1
China,Simao,Puer,City in China,/m/061nt1
Iraq,Erbil,Erbil,Capital of Iraqi Kurdistan,/m/03n7br
Spain,Pamplona,Pamplona,City in Spain,/m/0g850
Kenya,Mombasa,Mombasa,City in Kenya,/m/01cfd3
Sudan,Kosti,Kosti,City in Sudan,/m/0ggtb8
Niger,Niamey,Niamey,Capital of Niger,/m/0fqfs
Libya,Benghazi,Benghazi,City in Libya,/m/01czt9
Afghanistan,Herat,Herat,City in Afghanistan,/m/03ntv
Russia,Groznyy,Grozny,City in Russia,/m/011l4t
United Arab Emirates,Al Ain City,Al Ain,City in the United Arab Emirates,/m/01f2q_
Thailand,Chon Buri,Pattaya City,City in Thailand,/m/034_qm
Uzbekistan,Samarkand,Samarkand,City in Uzbekistan,/m/0dl3g
Uzbekistan,Nukus,Nukus,City in Uzbekistan,/m/06rfnp
Ukraine,Chernivtsi,Chernivtsi,City in Ukraine,/m/01_w5q
Djibouti,Djibouti,Djibouti,Capital of Djibouti,/m/028096h
South Africa,Newcastle,Newcastle,City in South Africa,/m/04zw45
Kenya,Ruiru,Ruiru,Municipality in Kenya,/m/09ttx3
United Arab Emirates,Ras Al Khaimah City,Ras Al-Khaimah,City in the United Arab Emirates,/g/121djg4n
Canada,Windsor,Windsor,"City in Ontario, Canada",/m/0843m
Dominican Republic,Santiago de los Caballeros,Santiago De Los Caballeros,City in the Dominican Republic,/m/03_33l
Austria,Vienna,Vienna,Capital of Austria,/m/0fhp9
Israel,Haifa,Haifa,City in Israel,/m/0fg1g
Guatemala,Coban,Cobán,Municipality in Guatemala,/m/0146p2
Argentina,Corrientes,Corrientes,City in Argentina,/m/02tbj5
China,Aksu,Aksu,Municipality in Turkey,/m/0hzs5sz
Saudi Arabia,Hafar Al-Batin,Hafar Al Batin,City in Saudi Arabia,/m/03ccg3h
Sudan,El Fasher,Al Fashir,City in Sudan,/m/0b8k_p
Russia,Shakhty,Shakhty,City in Russia,/m/05w7w2
China,Lijiang,Lijiang,City in China,/m/02fq4k
Peru,Piura,Piura,City in Peru,/m/02wpwv
Ethiopia,Gondar,Gondar,City in Ethiopia,/m/03ynnw
Chad,N'Djamena,N'Djamena,Capital of Chad,/m/0fqf8
Côte d'Ivoire,Man,Man,City in Côte d’Ivoire,/m/020h9t
Algeria,Annaba,Annaba,City in Algeria,/m/04m7fh
Mongolia,Ulan Bator,Moscow,Capital of Russia,/m/0hqkg
China,Hegang,Hegang,City in China,/m/05_mz1
Tanzania,Dar es Salaam,Dar es Salaam,City in Tanzania,/m/02cdt
Guinea,Camayenne,Conakry,Capital of Guinea,/m/0fn8p
Morocco,Oujda-Angad,Oujda,City in Morocco,/m/023tz4
South Sudan,Juba,Juba,Capital of South Sudan,/m/057686
Ukraine,Ivano-Frankivsk,Ivano-Frankivsk,City in Ukraine,/m/02k6vx
Armenia,Yerevan,Yerevan,Capital of Armenia,/m/0889d
Senegal,Thies,Thies,City in Senegal,/m/05g3_c
Denmark,Copenhagen,Copenhagen,Capital of Denmark,/m/01lfy
Brazil,Rio Branco,Rio Branco,City in Brazil,/m/03dz8s
Nepal,Patan,Patan,Municipality in India,/m/04r24x
Tajikistan,Istaravshan,Istaravshan,City in Tajikistan,/m/028rmv
Ethiopia,Jimma,Jimma,City in Ethiopia,/m/06ppnj
Lithuania,Kaunas,Kaunas,City in Lithuania,/m/0171b8
Czech Republic,Brno,Brno,City in the Czech Republic,/m/0fs_s
Colombia,Bogota,Bogotá,Capital of Colombia,/m/01dzyc
Mali,Bamako,Bamako,Capital of Mali,/m/0fn13
Tajikistan,Isfara,Isfara,City in Tajikistan,/m/028qk3
Turkmenistan,Ashgabat,Ashgabat,Capital of Turkmenistan,/m/0fmsx
South Africa,Pietermaritzburg,Pietermaritzburg,City in South Africa,/m/01_vrh
Iraq,Ramadi,Ramadi,City in Iraq,/m/01kk8b
Burkina Faso,Ouagadougou,Ouagadougou,Capital of Burkina Faso,/m/0fjw9
South Africa,Bloemfontein,Johannesburg,City in South Africa,/m/0g284
Poland,Gdansk,Gdynia,City in Poland,/m/03b4d
Peru,Iquitos,Iquitos,City in Peru,/m/02v7h6
El Salvador,Soyapango,Soyapango,Municipality in El Salvador,/m/077yt4
Poland,Sosnowiec,Sosnowiec,City in Poland,/m/0jx04
Tunisia,Sfax,Sfax,City in Tunisia,/m/06t1kx
India,Jammu,Jammu,Indian city,/m/051zvy9
Islamic Republic of Iran,Khorramshahr,Khorramshahr,City in Iran,/m/02crqv
Italy,Genoa,Genoa,City in Italy,/m/0hknf
United States,El Paso,El Paso,City in Texas,/m/0100mt
Nepal,Birganj,Birgunj,City in Nepal,/m/0f28yt
Poland,Lublin,Lublin,City in Poland,/m/0jw_5
Egypt,Luxor,Luxor,City in Egypt,/m/0180b5
Kazakhstan,Kyzylorda,Kyzylorda,City in Kazakhstan,/m/09r88m
Vietnam,Ho Chi Minh City,Ho Chi Minh City,City in Vietnam,/m/0hn4h
Russia,Angarsk,Angarsk,City in Russia,/m/0605ny
Georgia,Tbilisi,Tbilisi,Capital of Georgia,/m/0bm4j
Somalia,Berbera,Berbera,City in Somalia,/m/03q237
Costa Rica,San Jose,San Jose,City in California,/m/0f04v
